run_id,split,domain,agent_model,harness_version,num_tasks,num_passed,pass_rate,total_cost_usd,cost_per_successful_task,mean_reward,generated_at
smoke_20260610_010934,smoke,mock,gpt-4.1,v0.1,3,3,1.0,0.009482,0.003161,1.0,2026-06-10T01:09:50.177359+00:00
proxy_20260612_192926,proxy,retail,gpt-4.1,v0.1,12,6,0.5,0.602134,0.100356,0.5,2026-06-12T19:33:39.282132+00:00
proxy_20260612_193339,proxy,retail,gpt-4.1,v0.1,12,8,0.6667,0.541414,0.067677,0.6667,2026-06-12T19:37:30.522839+00:00
proxy_20260612_193730,proxy,retail,gpt-4.1,v0.1,12,7,0.5833,0.588152,0.084022,0.5833,2026-06-12T19:41:28.574514+00:00
proxy_20260612_194128,proxy,retail,gpt-4.1,v0.1,12,6,0.5,0.583734,0.097289,0.5,2026-06-12T19:45:56.241121+00:00
proxy_20260612_194556,proxy,retail,gpt-4.1,v0.1,12,8,0.6667,0.540646,0.067581,0.6667,2026-06-12T19:49:47.390822+00:00
validation_20260615_184127,validation,retail,gpt-4.1,v0.1,35,30,0.8571,1.730698,0.05769,0.8571,2026-06-15T18:55:57.252115+00:00
validation_20260615_185557,validation,retail,gpt-4.1,v0.1,35,30,0.8571,1.744574,0.058152,0.8571,2026-06-15T19:11:10.919873+00:00
validation_20260615_191110,validation,retail,gpt-4.1,v0.1,35,27,0.7714,1.760626,0.065208,0.7714,2026-06-15T19:25:02.891405+00:00
validation_20260615_192502,validation,retail,gpt-4.1,v0.1,35,27,0.7714,1.708376,0.063273,0.7714,2026-06-15T19:38:01.755311+00:00
validation_20260615_193801,validation,retail,gpt-4.1,v0.1,35,27,0.7714,1.760592,0.065207,0.7714,2026-06-15T19:52:14.222891+00:00
proxy_20260718_234110,proxy,retail,gpt-4.1,v0.1,12,6,0.5,0.5963,0.099383,0.5,2026-07-18T23:45:13.847688+00:00
smoke_20260721_194208,smoke,mock,openai/thinkingmachines/Inkling,v0.1,3,3,1.0,0.007575,0.002525,1.0,2026-07-21T19:43:03.594902+00:00
proxy_20260722_004905,proxy,retail,openai/thinkingmachines/Inkling,v0.1,12,6,0.5,0.243075,0.040512,0.5,2026-07-22T00:53:03.771890+00:00
proxy_20260722_005303,proxy,retail,openai/thinkingmachines/Inkling,v0.1,12,9,0.75,0.196303,0.021811,0.75,2026-07-22T00:57:10.499444+00:00
proxy_20260722_005710,proxy,retail,openai/thinkingmachines/Inkling,v0.1,12,7,0.5833,0.231956,0.033137,0.5833,2026-07-22T01:01:43.718276+00:00
proxy_20260722_010143,proxy,retail,openai/thinkingmachines/Inkling,v0.1,12,9,0.75,0.223198,0.0248,0.75,2026-07-22T01:06:18.914786+00:00
proxy_20260722_010618,proxy,retail,openai/thinkingmachines/Inkling,v0.1,12,8,0.6667,0.356733,0.044592,0.6667,2026-07-22T01:11:43.960764+00:00
validation_20260722_025944,validation,retail,openai/thinkingmachines/Inkling,v0.1,35,33,0.9429,1.164197,0.035279,0.9429,2026-07-22T03:19:09.873579+00:00
validation_20260722_031909,validation,retail,openai/thinkingmachines/Inkling,v0.1,35,28,0.8,0.600635,0.021451,0.8,2026-07-22T03:33:39.360354+00:00
validation_20260722_033339,validation,retail,openai/thinkingmachines/Inkling,v0.1,35,32,0.9143,0.597061,0.018658,0.9143,2026-07-22T03:47:10.865697+00:00
validation_20260722_034710,validation,retail,openai/thinkingmachines/Inkling,v0.1,35,30,0.8571,0.511674,0.017056,0.8571,2026-07-22T04:39:06.273023+00:00
validation_20260722_043906,validation,retail,openai/thinkingmachines/Inkling,v0.1,35,30,0.8571,0.508203,0.01694,0.8571,2026-07-22T04:51:40.252517+00:00
proxy_20260722_190140,proxy,retail,anthropic/claude-opus-4-8,v0.1,12,9,0.75,7.03207,0.781341,0.75,2026-07-22T19:12:21.542739+00:00
proxy_20260722_191221,proxy,retail,anthropic/claude-opus-4-8,v0.1,12,9,0.75,6.537,0.726333,0.75,2026-07-22T19:22:29.907552+00:00
proxy_20260722_192229,proxy,retail,anthropic/claude-opus-4-8,v0.1,12,10,0.8333,7.288395,0.72884,0.8333,2026-07-22T19:33:21.704646+00:00
